,summary_ch-0_quantile-0.9,summary_ch-0_quantile-0.5,summary_ch-0_quantile-0.1,summary_ch-0_mean,summary_ch-0_std,summary_ch-1_quantile-0.9,summary_ch-1_quantile-0.5,summary_ch-1_quantile-0.1,summary_ch-1_mean,summary_ch-1_std,summary_ch-2_quantile-0.9,summary_ch-2_quantile-0.5,summary_ch-2_quantile-0.1,summary_ch-2_mean,summary_ch-2_std
990,0.9490196108818054,0.9019607901573181,0.7490196228027344,0.8673167,0.11504624,0.9176470637321472,0.7960784435272217,0.6235294342041016,0.77721906,0.1270064,0.9372549057006836,0.8784313797950745,0.7803921699523926,0.8636672,0.080649026
991,0.9529411792755127,0.8980392217636108,0.7058823704719543,0.8606821,0.119630866,0.9254902005195618,0.8078431487083435,0.6000000238418579,0.7816586,0.13395618,0.9411764740943909,0.8823529481887817,0.7568627595901489,0.8626541,0.08320066
992,0.9529411792755127,0.9019607901573181,0.7921568751335144,0.8783761,0.0986668,0.9176470637321472,0.8117647171020508,0.6784313917160034,0.7966861,0.11238307,0.9372549057006836,0.8823529481887817,0.8078431487083435,0.87258375,0.068952374
993,0.9529411792755127,0.9215686321258545,0.8235294222831726,0.8941155,0.0958116,0.9372549057006836,0.8549019694328308,0.686274528503418,0.8272703,0.11697027,0.9490196108818054,0.9058823585510254,0.8117647171020508,0.8870755,0.07100172
994,0.95686274766922,0.9176470637321472,0.8470588326454163,0.89859164,0.08464851,0.9411764740943909,0.8392156958580017,0.6980392336845398,0.82209975,0.110813834,0.9490196108818054,0.8980392217636108,0.8235294222831726,0.88638616,0.06517106
1000,0.95686274766922,0.9333333373069763,0.7960784435272217,0.8984742,0.08724487,0.9490196108818054,0.8784313797950745,0.7215686440467834,0.84835345,0.11128622,0.95686274766922,0.9176470637321472,0.7960784435272217,0.8921987,0.0729524
1001,0.95686274766922,0.8313725590705872,0.7450980544090271,0.8389911,0.09175686,0.9333333373069763,0.7882353067398071,0.6627451181411743,0.789266,0.10852219,0.9490196108818054,0.8274509906768799,0.7450980544090271,0.83487666,0.08107226
1002,0.9529411792755127,0.929411768913269,0.8274509906768799,0.8971451,0.09864604,0.9372549057006836,0.8705882430076599,0.6549019813537598,0.8266442,0.13469817,0.9529411792755127,0.9176470637321472,0.8078431487083435,0.89115417,0.079542994
1003,0.9490196108818054,0.9215686321258545,0.8274509906768799,0.8932596,0.09178917,0.929411768913269,0.8352941274642944,0.6392157077789307,0.8026946,0.13140665,0.9450980424880981,0.9019607901573181,0.8039215803146362,0.8812878,0.07528156
1004,0.9450980424880981,0.9058823585510254,0.772549033164978,0.87342376,0.10760252,0.9176470637321472,0.7960784435272217,0.5803921818733215,0.76671803,0.14340833,0.9411764740943909,0.8823529481887817,0.772549033164978,0.8623681,0.08480228
1005,0.9490196108818054,0.9137254953384399,0.7843137383460999,0.8794238,0.10370044,0.9176470637321472,0.8117647171020508,0.5843137502670288,0.775273,0.1435726,0.9411764740943909,0.8901960849761963,0.772549033164978,0.8669215,0.08365592
1006,0.9411764740943909,0.8823529481887817,0.7098039388656616,0.84838,0.10649089,0.8941176533699036,0.7254902124404907,0.529411792755127,0.7136408,0.14150062,0.929411768913269,0.8509804010391235,0.7372549176216125,0.8366058,0.081707746
1007,0.9372549057006836,0.8941176533699036,0.7803921699523926,0.8691193,0.09178555,0.8509804010391235,0.7176470756530762,0.545098066329956,0.7035411,0.12495134,0.9137254953384399,0.8509804010391235,0.7529411911964417,0.8367563,0.072646365
1008,0.9490196108818054,0.8549019694328308,0.7607843279838562,0.85412395,0.07568837,0.8352941274642944,0.6627451181411743,0.48235294222831726,0.65920293,0.12922129,0.9098039269447327,0.7882353067398071,0.6431372761726379,0.78580123,0.09538585
1009,0.9450980424880981,0.8980392217636108,0.800000011920929,0.8757928,0.08681123,0.8705882430076599,0.7137255072593689,0.5176470875740051,0.7003639,0.13485038,0.9176470637321472,0.843137264251709,0.7137255072593689,0.8279484,0.08122456
1010,0.9529411792755127,0.9098039269447327,0.8313725590705872,0.8923683,0.07736013,0.9254902005195618,0.7921568751335144,0.5882353186607361,0.77133745,0.13101248,0.9450980424880981,0.8784313797950745,0.7764706015586853,0.86647457,0.07273629
